"Time (s)","Sound pressure level (dB)"
0.000000000E0,6.133205686E1
1.130000000E-1,5.602431153E1
3.840000000E-1,3.897519867E1
7.780000000E-1,4.208195145E1
1.036000000E0,3.840936313E1
1.305000000E0,3.561092139E1
1.587000000E0,4.663257633E1
1.829000000E0,5.311883882E1
2.084000000E0,5.299431820E1
2.357000000E0,5.747397858E1
2.643000000E0,5.626338063E1
2.949000000E0,5.790811120E1
3.238000000E0,5.874544026E1
3.497000000E0,5.736162139E1
3.775000000E0,5.897817442E1
4.097000000E0,5.789822970E1
4.357000000E0,5.312015799E1
4.626000000E0,5.710192134E1
4.941000000E0,6.275087240E1
5.235000000E0,5.784358767E1
5.535000000E0,5.388577420E1
5.827000000E0,5.403495101E1
6.090000000E0,5.428355086E1
6.339000000E0,6.064473144E1
6.616000000E0,6.271091291E1
6.850000000E0,6.982615367E1
7.128000000E0,7.050308750E1
7.487000000E0,5.395311298E1
7.760000000E0,5.036401582E1
8.065000000E0,4.614125463E1
8.361000000E0,6.244776407E1
8.614000000E0,6.315719526E1
8.862000000E0,5.981740395E1
9.123000000E0,5.907292535E1
9.374000000E0,5.661523092E1
9.665000000E0,6.210368813E1
9.948000000E0,6.140958115E1
1.021100000E1,5.697007655E1
1.058300000E1,5.460455934E1
1.084000000E1,5.408516231E1
1.115300000E1,5.907221377E1
1.142100000E1,6.113412429E1
1.172700000E1,6.267949704E1
1.197100000E1,6.245109870E1
1.226500000E1,6.342534529E1
1.255800000E1,6.810008108E1
1.287100000E1,6.036891848E1
1.313400000E1,5.913231814E1
1.342700000E1,5.973818566E1
1.371600000E1,5.534371651E1
1.401200000E1,5.694514867E1
1.431200000E1,6.134814982E1
1.461100000E1,5.900023912E1
1.484600000E1,5.689908400E1
1.515800000E1,5.296474858E1
1.544000000E1,5.608528071E1
1.569300000E1,5.728560404E1
1.596900000E1,5.837984103E1
1.620100000E1,5.718896638E1
1.649200000E1,5.909973037E1
1.678900000E1,5.705554272E1
1.716300000E1,6.079937758E1
1.747400000E1,5.618116117E1
1.775200000E1,5.519881157E1
1.803800000E1,5.402386340E1
1.829100000E1,5.678484358E1
1.858100000E1,5.954639303E1
1.882300000E1,6.030021638E1
1.908000000E1,5.588340744E1
1.934400000E1,5.668691200E1
1.958800000E1,6.042765467E1
1.983400000E1,5.839794223E1
2.008500000E1,5.457976882E1
2.039500000E1,5.974390604E1
2.064000000E1,6.049774386E1
2.092900000E1,6.029857781E1
2.117800000E1,6.116406203E1
2.142700000E1,5.664722837E1
2.173400000E1,5.823294996E1
2.203100000E1,5.517538657E1
2.229000000E1,5.322823206E1
2.259900000E1,6.180779467E1
2.285300000E1,6.106216386E1
2.314900000E1,5.883321877E1
2.347100000E1,6.045262422E1
2.375000000E1,6.163931220E1
2.406000000E1,4.841181734E1
2.432800000E1,4.372149986E1
2.462900000E1,5.625563946E1
2.487100000E1,5.672759349E1
2.513200000E1,5.896193725E1
2.540800000E1,5.893011728E1
2.566400000E1,5.857261268E1
2.596700000E1,5.859012974E1
2.621900000E1,5.635586832E1
2.648700000E1,5.350948293E1
2.673900000E1,5.430043092E1
2.701400000E1,5.666610976E1
2.727500000E1,5.218421407E1
2.753100000E1,5.689076583E1
2.782000000E1,5.796831886E1
2.806900000E1,5.608205064E1
2.831700000E1,5.482273815E1
2.861600000E1,5.392425499E1
2.888300000E1,5.329416010E1
2.914800000E1,5.366916703E1
2.940200000E1,5.280847155E1
2.968000000E1,5.333298066E1
2.994300000E1,5.497085471E1
3.031200000E1,5.753094076E1
3.057900000E1,5.655381974E1
3.086100000E1,5.517704804E1
3.115600000E1,5.592585858E1
3.140700000E1,6.212826207E1
3.166000000E1,5.699502474E1
3.193500000E1,6.025129057E1
3.223100000E1,5.686166208E1
3.247300000E1,5.807641915E1
3.271900000E1,6.065155151E1
3.296400000E1,5.961384387E1
3.320500000E1,6.119064420E1
3.354400000E1,5.548464633E1
3.378000000E1,5.699661616E1
3.408000000E1,5.653770482E1
3.438000000E1,5.083503664E1
3.468200000E1,5.695639918E1
3.495800000E1,5.566535489E1
3.524700000E1,5.914853092E1
3.552700000E1,5.758441289E1
3.576600000E1,6.085665801E1
3.606700000E1,5.862586334E1
3.630600000E1,5.096841655E1
3.662200000E1,6.009246966E1
3.689400000E1,5.981749726E1
3.715300000E1,6.108830629E1
3.740300000E1,5.724514841E1
3.766500000E1,5.934850613E1
3.793000000E1,5.725470328E1
3.819100000E1,5.843556167E1
3.847700000E1,5.697759761E1
3.874000000E1,5.721548979E1
3.901600000E1,5.649629904E1
3.927200000E1,5.850326911E1
3.954600000E1,5.691951660E1
3.993900000E1,5.357092442E1
4.023400000E1,5.817046878E1
4.053000000E1,5.554327077E1
4.081200000E1,5.802928061E1
